"SeferId","Plaka","lineId","routeId","SeferBaslangic","SeferBitis","Enlem","Boylam","KonumZamani","Hiz"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.998775","39.681415","16/12/2025 15:41:13","11.11"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.998605","39.680893","16/12/2025 15:41:18","12.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.998123","39.679414","16/12/2025 15:41:28","13.61"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.997882","39.678671","16/12/2025 15:41:33","13.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.997662","39.67799","16/12/2025 15:41:38","11.39"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.996707","39.675008","16/12/2025 15:41:58","13.61"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995851","39.672379","16/12/2025 15:42:18","10.28"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995686","39.671879","16/12/2025 15:42:23","8.89"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995127","39.669895","16/12/2025 15:42:43","10.28"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994998","39.669391","16/12/2025 15:42:48","10.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994767","39.668293","16/12/2025 15:43:03","0.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994743","39.668178","16/12/2025 15:43:33","2.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994666","39.667752","16/12/2025 15:43:38","8.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994561","39.667133","16/12/2025 15:43:43","10.83"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994433","39.666414","16/12/2025 15:43:48","12.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994218","39.664537","16/12/2025 15:44:08","0.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.994851","39.663332","16/12/2025 15:44:43","5"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995156","39.663395","16/12/2025 15:44:48","8.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.99543","39.66318","16/12/2025 15:44:53","10.28"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995899","39.660045","16/12/2025 15:45:13","17.5"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995965","39.657591","16/12/2025 15:45:23","19.72"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995777","39.655153","16/12/2025 15:45:33","20.28"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995615","39.653881","16/12/2025 15:45:38","21.39"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995458","39.652619","16/12/2025 15:45:43","20.83"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995371","39.651418","16/12/2025 15:45:48","19.17"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995503","39.649039","16/12/2025 15:45:58","20.28"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.995635","39.64783","16/12/2025 15:46:03","20"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.996454","39.64467","16/12/2025 15:46:18","16.94"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.997417","39.643654","16/12/2025 15:46:33","7.78"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.997944","39.643463","16/12/2025 15:46:39","10"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.998898","39.640008","16/12/2025 15:47:08","16.67"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.999365","39.639216","16/12/2025 15:47:13","16.67"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","40.999894","39.638462","16/12/2025 15:47:18","16.94"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.001633","39.636576","16/12/2025 15:47:33","14.17"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.002495","39.636079","16/12/2025 15:47:42","6.94"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.002872","39.636104","16/12/2025 15:47:48","8.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.003106","39.635829","16/12/2025 15:47:52","8.61"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.003431","39.635412","16/12/2025 15:47:57","8.33"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.003908","39.634978","16/12/2025 15:48:23","7.78"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.0043","39.634595","16/12/2025 15:48:28","11.94"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.006401","39.632008","16/12/2025 15:48:48","18.33"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.006734","39.628256","16/12/2025 15:49:08","12.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.00671","39.62694","16/12/2025 15:49:18","11.11"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.006568","39.625755","16/12/2025 15:49:28","10.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.006891","39.625027","16/12/2025 15:49:33","13.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.007484","39.623693","16/12/2025 15:49:43","15"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.008205","39.622082","16/12/2025 15:49:53","16.39"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.009922","39.618246","16/12/2025 15:50:23","10.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.01016","39.617715","16/12/2025 15:50:33","1.39"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.010188","39.617652","16/12/2025 15:50:52","2.78"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.010305","39.617392","16/12/2025 15:50:57","5.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.010468","39.617028","16/12/2025 15:51:02","7.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.010915","39.61597","16/12/2025 15:51:17","4.44"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.011042","39.61564","16/12/2025 15:51:32","0"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.011042","39.61564","16/12/2025 15:51:37","0"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.0117","39.613151","16/12/2025 15:52:07","8.61"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.011903","39.612256","16/12/2025 15:52:17","6.94"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.011982","39.611907","16/12/2025 15:52:22","5.28"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.012037","39.611664","16/12/2025 15:52:52","0"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.012037","39.611664","16/12/2025 15:53:02","0"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.012103","39.611375","16/12/2025 15:53:17","5.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.012188","39.611001","16/12/2025 15:53:22","6.39"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.012226","39.610832","16/12/2025 15:53:27","0.83"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.012387","39.610106","16/12/2025 15:53:47","9.72"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.0127","39.608693","16/12/2025 15:53:57","13.61"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.013233","39.606289","16/12/2025 15:54:12","13.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.013526","39.604968","16/12/2025 15:54:24","2.5"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.01354","39.604905","16/12/2025 15:54:37","3.89"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.013745","39.60397","16/12/2025 15:54:47","10"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.013893","39.603291","16/12/2025 15:54:52","12.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.014057","39.602545","16/12/2025 15:54:57","13.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.014215","39.601821","16/12/2025 15:55:02","12.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.008085","39.71057","16/12/2025 15:35:59","15"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.008182","39.713159","16/12/2025 15:35:44","15.28"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.008282","39.714138","16/12/2025 15:35:39","18.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.008766","39.716082","16/12/2025 15:35:29","15.56"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.009166","39.7192","16/12/2025 15:35:09","11.11"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.00917","39.719793","16/12/2025 15:35:04","7.22"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.00915","39.720151","16/12/2025 15:34:59","3.06"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.009141","39.720311","16/12/2025 15:34:54","3.61"
"3895794","61ACK378","69","137","16/12/2025 15:23:27","16/12/2025 16:45:15","41.009174","39.720924","16/12/2025 15:34:44","3.61"
