"SeferId","Plaka","lineId","routeId","SeferBaslangıc","SeferBitis","Enlem","Boylam","KonumZamanı","Hız"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","41.006436","39.623319","16/12/2025 12:17:06","7.78"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","41.006172","39.623756","16/12/2025 12:17:11","7.78"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","41.006008","39.624118","16/12/2025 12:17:16","5.28"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","41.005966","39.624218","16/12/2025 12:17:17","3.61"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","41.00595","39.624257","16/12/2025 12:17:23","5.28"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","41.00557","39.62416","16/12/2025 12:17:32","3.61"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.984775","39.599433","16/12/2025 12:00:21","5.56"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.985402","39.599724","16/12/2025 12:00:31","7.5"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.986062","39.599828","16/12/2025 12:00:41","8.61"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.986483","39.599882","16/12/2025 12:00:46","9.17"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.987417","39.5999","16/12/2025 12:00:57","9.44"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.988626","39.600291","16/12/2025 12:01:11","10.28"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989037","39.600463","16/12/2025 12:01:16","9.17"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989396","39.600563","16/12/2025 12:01:21","6.67"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989551","39.600885","16/12/2025 12:01:26","5"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989563","39.601926","16/12/2025 12:01:35","6.11"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989543","39.602079","16/12/2025 12:01:38","2.22"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989539","39.602097","16/12/2025 12:01:45","0.56"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989377","39.602709","16/12/2025 12:02:10","7.5"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989064","39.603621","16/12/2025 12:02:20","7.78"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.988635","39.604333","16/12/2025 12:02:30","8.06"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.98854","39.60487","16/12/2025 12:02:35","9.44"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.988444","39.605346","16/12/2025 12:02:40","7.5"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.988379","39.605482","16/12/2025 12:02:42","6.39"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.988947","39.606887","16/12/2025 12:03:01","9.72"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989244","39.607184","16/12/2025 12:03:06","7.22"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989563","39.607471","16/12/2025 12:03:15","0"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989648","39.60755","16/12/2025 12:03:30","5.28"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.989929","39.60783","16/12/2025 12:03:35","8.61"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.990872","39.608881","16/12/2025 12:03:50","7.78"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.991032","39.609032","16/12/2025 12:03:55","1.39"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.991273","39.609312","16/12/2025 12:04:25","9.17"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.991599","39.609825","16/12/2025 12:04:30","10.83"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.991886","39.610248","16/12/2025 12:04:35","8.06"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.992123","39.61045","16/12/2025 12:04:40","7.78"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.992642","39.610452","16/12/2025 12:04:47","6.11"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.993063","39.610698","16/12/2025 12:04:55","5.83"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.993101","39.61083","16/12/2025 12:05:00","0.56"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.993114","39.610877","16/12/2025 12:05:15","0.28"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.993139","39.610994","16/12/2025 12:05:30","5.56"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.993023","39.612158","16/12/2025 12:05:40","11.39"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.992807","39.613455","16/12/2025 12:05:50","9.72"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.993198","39.614429","16/12/2025 12:06:00","11.67"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.993438","39.615051","16/12/2025 12:06:05","11.94"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.99425","39.616552","16/12/2025 12:06:20","7.22"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.994354","39.616748","16/12/2025 12:06:25","0.56"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.99439","39.61683","16/12/2025 12:06:40","3.89"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.994713","39.617552","16/12/2025 12:06:50","8.61"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.995169","39.618504","16/12/2025 12:07:00","10"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.995488","39.618842","16/12/2025 12:07:05","7.78"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.995784","39.619017","16/12/2025 12:07:15","0"
"3895142","61ACS950","150","299","16/12/2025 12:00:21","16/12/2025 12:17:32","40.996114","39.619185","16/12/2025 12:08:05","6.67"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008963","39.719622","16/12/2025 16:21:10","4.17"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.009018","39.718682","16/12/2025 16:20:45","1.94"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.009019","39.718641","16/12/2025 16:20:40","1.39"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.009025","39.718435","16/12/2025 16:20:35","4.72"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.009012","39.718123","16/12/2025 16:20:30","4.44"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008992","39.717955","16/12/2025 16:20:15","1.11"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008114","39.716948","16/12/2025 16:19:50","10.56"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004762","39.716685","16/12/2025 16:19:17","7.22"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004482","39.716663","16/12/2025 16:19:09","7.5"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004013","39.716853","16/12/2025 16:18:52","0.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004018","39.716966","16/12/2025 16:18:47","4.44"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004462","39.716978","16/12/2025 16:18:40","2.78"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004546","39.716103","16/12/2025 16:18:28","6.39"
